Sector/Type,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Total, excl LULUCF",Total Historical emissions (excl LULUCF) excl forestry,236,242,248,251,253,254,267,267,273,280,283,284,274,290,298,305,317,331,331,308,320,331,334,343,342,348,350,354,352,340,330,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LULUCF,Historical emissions/removals from forestry (incl LULUCF),"48,4","66,8","69,6","61,7","65,0","69,6","88,6","84,1",102,"87,6","85,0","83,4","97,5","98,7",105,"94,2",110,115,"91,2","68,0","69,4","57,1","93,2","89,2","61,6","39,8","31,4","41,0","39,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, excl LULUCF, Min",Policies and action min excl LULUCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,359,364,366,371,375,378,379,382,384,,,,,,,,,,,,,,,,,,,,
"Total, excl LULUCF, Max",Policies and action max excl LULUCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,362,372,379,386,391,396,398,403,407,,,,,,,,,,,,,,,,,,,,
"Total, excl LULUCF, Min",Planned policies min excl LULUFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,355,355,353,354,351,351,348,347,346,,,,,,,,,,,,,,,,,,,,
"Total, excl LULUCF, Max",Planned policies max excl LULUFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,358,363,366,368,367,368,366,366,366,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper end of ,2025,2030,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5°C Paris Agreement compatible,"234,94","191,30","47,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost sufficient,"253,20","214,84","87,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insufficient,"304,85","281,39","200,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highly insufficient,"333,10","317,80","261,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper end of ,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5°C Paris Agreement compatible,"344,1","347,6","351,2","354,7","358,3","361,8","350,0","338,2","326,4","314,6","302,8","291,5","280,1","268,8","257,5","246,1","231,8","217,4","203,1","188,7","174,4","166,3","158,1","150,0","141,9","133,8","129,6","125,5","121,3","117,1","113,0","108,9","104,7","100,6","96,5","92,3",,,,,,,,,,,,,,,,,,,,,,,,,,
Almost sufficient,"344,1","349,3","354,5","359,8","365,0","370,2","362,7","355,1","347,5","340,0","332,4","326,4","320,3","314,3","308,2","302,2","297,2","292,3","287,3","282,4","277,4","272,0","266,5","261,0","255,6","250,1","243,4","236,7","230,0","223,4","216,7","212,2","207,7","203,2","198,7","194,3",,,,,,,,,,,,,,,,,,,,,,,,,,
Insufficient,"344,1","351,2","358,4","365,5","372,7","379,8","381,9","384,1","386,2","388,3","390,4","391,7","393,0","394,3","395,6","396,9","393,8","390,7","387,6","384,5","381,4","380,1","378,7","377,3","376,0","374,6","371,0","367,4","363,8","360,2","356,6","351,5","346,4","341,3","336,2","331,1",,,,,,,,,,,,,,,,,,,,,,,,,,
Highly insufficient,"344,1","352,3","360,5","368,8","377,0","385,2","391,6","398,0","404,4","410,8","417,2","425,1","433,0","440,9","448,8","456,8","462,7","468,7","474,7","480,7","486,6","492,5","498,3","504,1","510,0","515,8","517,1","518,5","519,8","521,1","522,5","524,7","526,8","529,0","531,2","533,3",,,,,,,,,,,,,,,,,,,,,,,,,,
