trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.788525625,0.706791125,0.760360583,0.902856416,1.218261958,1.788203792,0.696260666
0.001218583,0.001761166,0.0024885,0.000846,0.000886416,0.001365709,0.001986042
0.001785625,0.000946917,0.00072775,0.001129542,0.001492042,0.0026645,0.000685625
0.002719959,0.000830042,0.000876667,0.001471875,0.001989958,0.00228625,0.000700708
0.005464333,0.00128225,0.001369875,0.002085333,0.009306292,0.007407458,0.000561792
0.011073083,0.001032792,0.003030333,0.003983167,0.005532125,0.007965875,0.002301084
0.027536208,0.001443667,0.004039084,0.006804833,0.011930833,0.016547,0.001832583
0.046966875,0.002306,0.008713375,0.014121667,0.022674791,0.034181792,0.001835291
0.113198959,0.034911208,0.019429833,0.031505125,0.056985,0.069947083,0.002409084
0.321034416,0.009252791,0.034010334,0.057847917,0.128112959,0.146784333,0.004081125
0.601938083,0.018333042,0.103681959,0.11799025,0.203411791,0.3390945,0.00987025
1.167641333,0.035828792,0.180837291,0.29487175,0.438754958,0.678320792,0.025405333
2.493645917,0.252848833,0.422593292,0.598568292,1.110430417,1.413096708,0.043432333
5.359967834,0.349310791,1.342199,1.8230075,2.287958792,3.067462875,0.623324792
12.465171583,0.947941083,2.083549291,3.216920292,4.870522875,6.572602667,0.305559375
24.0188385,1.932619291,3.778028333,5.903434625,9.2068585,12.997622584,1.164356875
46.164575917,3.014922375,7.674384917,11.986883834,18.478859042,25.9162015,1.781517875
88.925498584,4.119357458,14.38044875,23.518730375,36.308636209,52.146580208,2.185825041
165.063424875,8.591979958,29.5700425,46.983241791,73.015792084,104.600476416,4.346501083
352.016944792,17.671307875,62.072750959,96.873773542,150.789305292,212.818345625,8.668896
