trick,trick BF,trick MF2,trick dict,trick dict BF,trick dict MF2,trick matrix BF
0.00094475,0.002048875,0.001009667,0.008202875,0.022614583,0.001001709,0.002014875
0.000837084,0.004038208,0.000975417,0.001375791,0.0054435,0.001905166,0.003079125
0.0011415,0.005350583,0.001943208,0.0020255,0.005432167,0.001193709,0.00588
0.001179584,0.011734167,0.003405,0.001445958,0.010784042,0.001600208,0.010715916
0.001230042,0.021238167,0.002018583,0.001939708,0.128984125,0.001834125,0.0226435
0.007417792,0.050076667,0.003694875,0.005952375,0.043422875,0.003193875,0.045054292
0.003393875,0.099159417,0.017179458,0.002741292,0.073330584,0.008868292,0.09204825
0.005713292,0.202037167,0.060613,0.00799425,0.435662292,0.008439959,0.192800208
0.012037167,0.480862875,0.024160917,0.009981041,0.34272425,0.019809583,0.503336166
0.076229833,1.049215625,0.041578708,0.018113541,0.696777167,0.036666167,1.044596917
0.053984625,2.0312285,0.266526625,0.14477425,1.39880075,0.07630425,2.194715041
0.083956125,4.746826791,0.526934375,0.172900292,3.255632083,0.2577115,5.553422125
0.247243625,11.085130125,0.734155083,0.154715,10.148690583,0.33343275,16.805314292
0.407872917,17.187503,0.921751875,0.335322959,46.915003167,0.784046416,47.289206667
0.740364333,35.227224208,2.550213416,0.673182042,9233.0,1.168581375,386.166540209
