trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000717666,0.000570959,0.000390833,0.000503292,0.000591542,0.000415792
0.000512041,0.000416958,0.00043175,0.000494708,0.000430416,0.00042025
0.001222666,0.000500875,0.000445167,0.000499958,0.000635833,0.000395084
0.000646833,0.00042625,0.000406333,0.0007795,0.000532625,0.000418625
0.00098075,0.000579375,0.000533625,0.000677125,0.001022542,0.0004215
0.008364791,0.00047725,0.00069025,0.001231041,0.001501792,0.0004785
0.002971375,0.000680667,0.001072042,0.001371833,0.002035292,0.000808
0.006164084,0.000914084,0.001711875,0.002226166,0.003504041,0.000680333
0.011965125,0.001271375,0.002492417,0.004267417,0.006927458,0.001072583
0.02627125,0.001850375,0.00500025,0.008447958,0.025671084,0.001642334
0.077592541,0.011804875,0.010055125,0.017579125,0.03857325,0.002413
0.157795459,0.006953542,0.021659792,0.047007417,0.069731875,0.004360041
0.323573917,0.0212325,0.060908792,0.098184333,0.144695334,0.007898583
0.679335833,0.040845875,0.11304,0.203791459,0.307636167,0.025779125
1.338059708,0.090831125,0.235499375,0.418984667,0.64852025,0.052099958
2.785775583,0.189197958,0.492117,0.869012375,1.327016209,0.110733583
5.6858875,0.387691417,1.026077541,1.80046125,2.710932166,0.2373835
11.691398667,0.798749125,2.111392334,3.724495667,5.53538575,0.477134167
