trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.813489583,0.709245083,0.761246666,0.927620042,1.239708708,1.919020042,0.705227375
0.001124125,0.000580875,0.001309042,0.000846042,0.001680417,0.000999542,0.000841125
0.001595917,0.000572125,0.000748417,0.000959833,0.001481,0.001213375,0.000647958
0.002129875,0.000546875,0.000735541,0.002023958,0.001256541,0.0015965,0.000533458
0.003349667,0.000577125,0.001655708,0.001237917,0.002780875,0.003242208,0.000823375
0.008424291,0.001046959,0.001352416,0.002036333,0.003345333,0.005127917,0.00064775
0.014389708,0.001146583,0.002810375,0.003847333,0.006801375,0.010350209,0.000918708
0.027954333,0.003003125,0.0048675,0.008073458,0.013633,0.020801625,0.001237083
0.079466041,0.036366375,0.01506225,0.022485583,0.030588584,0.042501125,0.00164275
0.153448542,0.005899792,0.02016725,0.033014125,0.060903042,0.087684625,0.005508417
0.371168291,0.013228,0.041766291,0.078134125,0.142383958,0.181668792,0.010860625
0.883434791,0.076448334,0.089873208,0.193949833,0.367785167,0.485928125,0.011706417
1.692763292,0.050964792,0.22645525,0.360841542,0.650020209,1.058213958,0.02255575
2.976387959,0.234295042,0.505272583,0.872581375,1.196537958,1.696692958,0.056757417
6.462384833,0.462367417,1.148322542,1.669509291,2.720090041,4.07745275,0.229700375
13.891091875,1.212751292,2.249586292,3.377244041,5.323227292,7.777071542,0.829199667
28.075328541,1.79026075,4.450394541,6.965147917,10.826743417,15.275414167,1.347140834
57.23696575,2.926501375,8.980772792,14.296383333,22.043819292,31.190909458,1.725569167
111.006122,5.821279792,18.448816958,28.85571425,44.905951209,63.831935958,3.477273584
227.051638709,11.668632041,37.588915542,58.694156208,91.497451625,128.445573834,7.127127333
