trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.0,2.416683245202873e-28,3.249561764741507e-45,4.461612642477497e-61,2.8900283621920084e-73,2.8710222366996205e-12
0.0,7.8959702015314995e-25,4.6630095730154006e-40,5.408075473117411e-57,4.633477988495071e-69,3.305550632125318e-8
0.0,5.295075749353259e-24,1.1208634709533995e-39,1.2651175288188202e-56,7.00135239053274e-69,8.903918489023993e-8
0.0,8.691510183768558e-21,1.2500087614594814e-37,1.4330818980243862e-53,1.395934773855702e-66,1.3813868328346804e-5
0.0,4.408888335764221e-16,7.066987413825795e-32,4.416339063718144e-48,6.745950618838868e-61,6.849226098901099
0.0,1.2574983702456171e-14,3.517156277206844e-30,1.498421245036855e-46,1.1207871047967476e-59,2.8571356142857143
0.0,1.7454461015450553e-14,3.053202719587636e-30,2.0132643895721644e-46,2.0686210877199205e-59,8.244722994513644
0.0,6.998681453916183e-11,1.431845115471739e-26,3.5522704994244673e-43,7.850772356334634e-56,8.1444603909465
0.0,1.269674914474659e-10,1.0791922016830427e-26,5.319205754955402e-43,1.8831922917127544e-55,3.386830619055144
0.0,4.5594356835988826e-10,5.779406243155615e-26,4.457809765056941e-42,7.112540607958991e-55,34.18517550503704
0.0,1.5190896254324196e-6,9.489362904983483e-23,1.6498321607464755e-38,1.4032089918421863e-51,2.4693865575320717
0.0,2.8764042807812896e-6,1.911162415012732e-22,1.6143233283191416e-38,2.3577592918662963e-51,6.591630314285715
0.0,4.825995263270266e-6,6.756116178709523e-22,7.715949434031657e-38,1.583160508626449e-50,9.231582474707867
0.0,2.3038020533802115e-5,2.657887226147023e-21,8.612391862663766e-38,1.5797378053302073e-50,2.432667110141132
0.0,0.001093109368822555,5.1757214652628736e-20,8.221336731092581e-36,6.826349868100981e-49,1.6749408374594914
0.0,0.0014530711563322297,1.1679553800872921e-19,1.587809706175851e-35,1.5865323789971195e-48,1.7285525920139673
0.0,9.063924171541858,5.670236544372823e-16,2.300647621332921e-32,8.529841994813637e-45,28.053328
0.0,727.6586257275944,2.5517555335404396e-15,6.699235676047559e-32,2.676196660740413e-44,1.7169160949772109
