trick,trick BF,trick BF thread,trick MF2,trick MF2 thread,trick MF3,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.527047708,0.45327275,0.291706959,0.4585725,0.200725708,0.569444875,0.196358959,0.971281,0.001143916,0.169025459
0.002039416,0.004246333,0.00188925,0.001018166,0.000938667,0.001398916,0.0009055,0.001016666,0.001392291,0.0006755
0.001011584,0.006879583,0.002595375,0.00111325,0.000738708,0.001749417,0.001198584,0.0014355,0.001917458,0.000541666
0.0011765,0.014956917,0.005058209,0.001446,0.000890667,0.003349291,0.001348959,0.001753333,0.008644459,0.000842041
0.001481125,0.02603125,0.010418417,0.002095459,0.001207667,0.005539083,0.00175475,0.002934625,0.0054195,0.000826667
0.002554292,0.065985167,0.02134775,0.003723541,0.001377375,0.010528542,0.004289542,0.006005917,0.011065625,0.002331167
0.003302125,0.226986625,0.043695708,0.005476667,0.003164792,0.022285209,0.00672325,0.01246775,0.032917792,0.001336459
0.005585125,0.242304541,0.086182417,0.011568417,0.007413209,0.060788875,0.014913125,0.035986375,0.050808875,0.002115458
0.01148125,0.59351025,0.295785375,0.038621333,0.011486334,0.1837525,0.0310335,0.068747625,0.103171625,0.00383475
0.029322083,1.354546708,0.651483125,0.066445792,0.048205167,0.312329416,0.064696334,0.13671225,0.203243875,0.010265042
0.053989209,3.153284625,1.384578958,0.101139708,0.081067166,0.431869125,0.138363291,0.269986333,0.428942042,0.038181375
0.275402208,5.3351335,2.851467416,0.325926083,0.121713208,0.896699542,0.309141834,0.553026458,0.882066125,0.044406583
0.307377917,11.792135834,6.462348917,0.561419458,0.302777542,2.007795333,1.006263042,1.173033333,1.793522625,0.25907075
0.447639709,23.561953709,11.275617125,1.154229458,1.041107875,4.105492834,1.961650792,2.429207875,3.705690875,0.291764667
0.878884209,48.5909795,18.827082791,2.062972875,1.038478833,8.52637975,3.116610083,4.79330975,7.614958791,0.615096417
1.984970834,93.843601875,44.617063125,4.821342333,4.246278167,18.099406417,6.768135833,10.65402775,15.858394333,0.972777125
3.874308542,176.504635583,77.617617917,9.2970935,4.205033,38.31098775,14.871326542,21.270548,32.679141917,2.015292583
8.043069916,362.612103833,158.444276167,19.407503833,9.680450834,80.616256333,30.130008166,44.159314958,67.252628792,4.111217959
16.009082417,0.0,0.0,38.130217208,17.744997417,164.78344625,60.44838275,89.293443125,0.0,8.07153325
32.629128542,0.0,0.0,79.200103666,36.734395166,336.195215,121.88368575,184.239027917,0.0,16.831080083
69.308216875,0.0,0.0,159.148724584,77.862866375,698.309197125,258.056746458,378.625861958,0.0,34.143035417
1435.203910875,0.0,0.0,335.284533542,157.73557725,1479.397192375,527.482492416,766.407227875,0.0,62.754140708






































